oblast,rajon_grouped,population
Івано-Франківська,Богородчанський район,69731
Івано-Франківська,Болехів,21427
Івано-Франківська,Верховинський район,30642
Івано-Франківська,Галицький район,58660
Івано-Франківська,Городенківський район,52701
Івано-Франківська,Долинський район,69162
Івано-Франківська,Калуський район,125284
Івано-Франківська,Коломийський район,159253
Івано-Франківська,Косівський район,87806
Івано-Франківська,Надвірнянський район,138341
Івано-Франківська,Рогатинський район,40127
Івано-Франківська,Рожнятівський район,72381
Івано-Франківська,Снятинський район,64597
Івано-Франківська,Тисменицький район,340259
Івано-Франківська,Тлумацький район,47125
Волинська,Іваничівський район,88683
Волинська,Володимир-Волинський район,64076
Волинська,Горохівський район,51320
Волинська,Камінь-Каширський район,64248
Волинська,Ковельський район,109426
Волинська,Ківерцівський район,63927
Волинська,Локачинський район,22078
Волинська,Луцький район,281251
Волинська,Любешівський район,35824
Волинська,Любомльський район,39107
Волинська,Маневицький район,54261
Волинська,Ратнівський район,52193
Волинська,Рожищенський район,39095
Волинська,Старовижівський район,30165
Волинська,Турійський район,26039
Волинська,Шацький район,16764
Вінницька,Іллінецький район,36874
Вінницька,Барський район,51444
Вінницька,Бершадський район,58449
Вінницька,Вінницький район,452411
Вінницька,Гайсинський район,56206
Вінницька,Жмеринський район,68318
Вінницька,Калинівський район,57409
Вінницька,Козятинський район,63563
Вінницька,Крижопільський район,32976
Вінницька,Ладижин,23904
Вінницька,Липовецький район,37272
Вінницька,Літинський район,34905
Вінницька,Могилів-Подільський район,63813
Вінницька,Мурованокуриловецький район,24919
Вінницька,Немирівський район,48347
Вінницька,Оратівський район,20793
Вінницька,Погребищенський район,29397
Вінницька,Піщанський район,20678
Вінницька,Теплицький район,27818
Вінницька,Тиврівський район,41819
Вінницька,Томашпільський район,32933
Вінницька,Тростянецький район,35200
Вінницька,Тульчинський район,54727
Вінницька,Хмільницький район,63805
Вінницька,Чернівецький район,20999
Вінницька,Чечельницький район,20840
Вінницька,Шаргородський район,56661
Вінницька,Ямпільський район,39328
Дніпропетровська,Апостолівський район,54324
Дніпропетровська,Васильківський район,31920
Дніпропетровська,Верхньодніпровський район,52858
Дніпропетровська,Вільногірськ,23235
Дніпропетровська,Дніпровський район,1086977
Дніпропетровська,Жовті Води,45518
Дніпропетровська,Кам'янське,241990
Дніпропетровська,Криворізький район,677511
Дніпропетровська,Криничанський район,34976
Дніпропетровська,Магдалинівський район,33622
Дніпропетровська,Марганець,48139
Дніпропетровська,Межівський район,23255
Дніпропетровська,Новомосковський район,143973
Дніпропетровська,Нікопольський район,152157
Дніпропетровська,П'ятихатський район,44575
Дніпропетровська,Павлоградський район,161751
Дніпропетровська,Петриківський район,25110
Дніпропетровська,Петропавлівський район,54284
Дніпропетровська,Покров,41195
Дніпропетровська,Покровський район,34220
Дніпропетровська,Синельниківський район,68364
Дніпропетровська,Солонянський район,38344
Дніпропетровська,Софіївський район,21539
Дніпропетровська,Томаківський район,24658
Дніпропетровська,Царичанський район,26763
Дніпропетровська,Широківський район,26880
Дніпропетровська,Юр'ївський район,13002
Донецька,Єнакієве,106339
Донецька,Амвросіївський район,44112
Донецька,Бахмутський район,182809
Донецька,Бойківський район,14066
Донецька,Великоновосілківський район,38338
Донецька,Волноваський район,98214
Донецька,Вугледар,15025
Донецька,Горлівка,262401
Донецька,Дебальцеве,24758
Донецька,Добропільський район,76040
Донецька,Докучаєвськ,23960
Донецька,Донецьк,934737
Донецька,Дружківка,66971
Донецька,Жданівка,12916
Донецька,Костянтинівський район,89613
Донецька,Краматорськ,188456
Донецька,Лиманський район,64670
Донецька,Макіївка,382310
Донецька,Мангушський район,26177
Донецька,Мар'їнський район,80812
Донецька,Маріуполь,465735
Донецька,Новоазовський район,27425
Донецька,Нікольський район,28188
Донецька,Олександрівський район,18283
Донецька,Покровський район,154744
Донецька,Селидове,66038
Донецька,Слов'янський район,163179
Донецька,Сніжне,68410
Донецька,Старобешівський район,49648
Донецька,Торецьк,69371
Донецька,Харцизьк,101005
Донецька,Чистякове,77606
Донецька,Шахтарський район,105381
Донецька,Ясинуватський район,94523
Житомирська,Ємільчинський район,32629
Житомирська,Андрушівський район,32930
Житомирська,Баранівський район,39572
Житомирська,Бердичівський район,104445
